Tanggal,Aceh,Bali,Bangka Belitung…,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South Kalimantan,South Sulawesi,South Sumatra,Southeast Sulawesi,Yogyakarta,West Java,West Kalimantan,West Nusa Tengg…,West Papua,West Sulawesi,West Sumatra
02-May-2020,24.1790673657917,18.7645721672833,6.4934913620978,33.8637363424451,11.9665790394602,22.97844584523,10.7565783998734,9.82155569152972,16.2985695568236,10.4967402608073,4.4165082750002,70.3265447479926,27.4244731739036,11.5191717886812,17.6799520177859,109.152708088638,12.5967723140558,4.51555487927897,21.7439860365377,44.8375338461493,8.54254687221667,28.6972769201866,69.5175484780956,23.8102350079423,16.7648605913923,17.92186017763,10.8958235535294,13.2297815403663,34.7283027774582,16.8659458775725,14.7700766953751,4.90792468713993,21.2025735202822,7.71025480996679
03-May-2020,16.8659458775725,14.1624664208798,7.00000000000001,31.3190638982848,11.9665790394602,27.1488115444703,11.780921365258,9.82155569152972,13.756114362548,11.1891780915783,2.10720996964787,Inf,30.0720998653619,28.2340588294279,27.8287123833772,109.152708088638,15.3844832945749,7.4198407707242,41.1946443465318,47.2657956060864,9.1224319125391,15.8185571469432,61.3115307627726,16.7662359580802,15.5603458188554,13.4575476492547,13.7755439410125,14.3460835913562,33.5298602310074,15.3220584515877,15.0819147654046,4.90792468713993,21.2025735202822,7.48739199309911
04-May-2020,16.8659458775725,14.5157083024777,7.00000000000001,31.3239648468512,11.9665790394602,26.8336415155822,10.2264699353569,9.82155569152972,14.0618242254658,10.8993979854627,2.10720996964787,70.3265447479926,30.3801301421918,28.2340588294279,19.3066124261527,109.152708088638,13.1947329257117,7.4198407707242,41.1946443465318,32.2861268032294,10.4714257365409,12.2253920162006,71.9445153870955,17.4764971878567,15.0799346599706,13.4575476492547,13.7755439410125,14.8793512186033,17.6448058010369,13.5292048600793,18.1836207041411,4.90792468713993,21.2025735202822,9.37743629256268
05-May-2020,16.8659458775725,19.1492629990219,4.71245023447913,29.2530917682031,11.9665790394602,22.1524024539506,12.0485525726215,9.49840814199706,15.5426390564466,12.8011148683319,1.95260061955791,Inf,30.7093471948431,16.4217189499799,21.7439860365377,109.152708088638,13.7292308601532,7.4198407707242,106.726284371501,30.7082264573828,14.560228631648,11.4978543512862,56.3700530642506,14.0251958697863,14.0404123830192,14.6826466400315,11.3512649507657,18.4353921566596,16.5116516445044,13.5292048600793,19.0779595099573,17.2730119605907,10.7936804564699,11.3272721799654
06-May-2020,7.62911315076072,19.1492629990219,4.71245023447913,21.3502430579905,31.4758927392134,21.5003647509118,12.7163107047863,12.1803916292483,14.4132818247246,11.4196803564706,1.95260061955791,Inf,31.6479845463907,12.6219630611487,15.4280863935169,Inf,13.7292308601532,7.4198407707242,215.906260239516,22.8264835740638,17.8592437709341,12.2124548512725,50.3682591988083,13.4833077201448,13.562642105814,12.8600701082554,18.3918192117336,18.6096721445677,18.059307818158,11.0432372504246,21.2484604865932,13.5013391387852,11.4744038189525,9.79146045012525
07-May-2020,9.14393505096496,18.8938431978589,4.71245023447913,23.8848152289136,31.4758927392134,21.8522548530008,18.6826210439987,10.3822162665913,17.3559902587007,15.8476650086743,3.5,20.5256370613382,32.1550648703267,12.6219630611487,15.4280863935169,Inf,17.9686764596968,21.7439860365377,Inf,25.0552647624633,23.5057224215484,10.1915707406003,50.3682591988083,14.420299019743,14.6359832163741,11.7109771631484,45.3578959100032,13.2531461286859,15.607440599383,9.83319234900173,18.2610931658798,13.5013391387852,15.0323117711182,9.1166422003032
08-May-2020,11.1459426664731,19.8693311077487,12.5127941395337,25.6616634879151,31.4758927392134,21.6918764606119,26.0042630155439,10.8719930182689,22.4065235745619,11.2922114610838,3.5,20.5256370613382,35.2013579961966,12.6219630611487,17.4764971878567,14.6923615546488,37.2473266551156,24.4495203455382,111.579114034328,16.499470877088,20.8579760521835,9.77371020905916,41.6362427646132,15.260561173511,18.8066620906237,12.9355045177083,39.9801911727519,15.2362173521327,14.8200325449102,10.9525894035039,16.618549074041,20.8579760521835,14.5643438288681,10.7601121147232
09-May-2020,11.1459426664731,18.988478653519,12.5127941395337,23.9254992797532,4.30904239058145,21.7186098884907,26.1563268049305,20.2209490450242,15.4710254737697,14.7467629292906,3.5,20.5256370613382,34.7434317491908,7.33601662865567,17.4764971878567,14.6923615546488,68.1692042399798,17.6173537054802,29.6525536286783,11.4108532577374,33.8406906222054,10.6400115420077,38.3607778114178,14.0230595912689,23.3919922043726,8.3979288638717,46.7454734565439,19.6114388580233,15.1409982555002,8.80303600189511,17.4764971878567,23.2052634948492,14.1481397454752,10.7349335388257
10-May-2020,13.9303388185335,28.3002350893,13.0584126993124,23.0943666381238,4.30904239058145,20.9720350852866,23.5028445934442,14.2161889406654,16.3836344266399,16.3423747344721,26.6124881184676,20.5256370613382,32.1512790073322,9.30761346163793,17.4764971878567,14.6923615546488,68.1692042399798,63.0452783940043,10.6400115420077,12.9318003911317,19.4500663193631,15.1546607500996,51.9868147466072,16.2191466010965,26.4516429064214,11.9136847641794,28.2340588294279,16.994507230274,15.6534699294231,9.00196987795651,23.7400919789468,9.95706708623415,14.1481397454752,11.3512649507657
11-May-2020,13.9303388185335,32.9455628757353,13.0584126993124,25.1269914642931,4.30904239058145,23.6172916848192,69.5797792283869,14.2161889406654,15.537042978941,18.2064071261983,26.6124881184676,20.5256370613382,32.2476507074402,9.03878582216381,24.1790673657917,14.6923615546488,633.186851070284,63.0452783940043,10.6400115420077,14.8120398115701,19.4500663193631,21.0942768358827,51.9868147466072,17.0914139730567,27.9661809860159,11.9136847641794,28.2340588294279,14.9766929172468,27.5612683528558,9.76200188191365,23.7400919789468,9.95706708623415,14.1481397454752,12.5298533374008
12-May-2020,13.9303388185335,28.7109004340772,138.268674134087,24.3477680972424,4.03001649745411,31.7884210351543,40.5610274092652,15.8884146151238,13.6921222562358,15.8884146151238,16.8659458775725,20.5256370613382,35.4251084062374,11.7429358937588,26.6124881184676,6.24835850200746,638.03890489617,63.0452783940043,9.75473435487333,11.5323378597491,18.2982785724576,17.1102011581455,54.6842478354707,18.1430950918743,31.385020332784,14.3590718155253,50.2141069747188,14.5223335116374,28.1017040150163,9.29997807587195,27.9638311239802,13.6035074691231,30.5035022084282,13.2197678631107
